ticker,news_sentiment_7d,news_sentiment_30d,news_sentiment_trend,news_volume_7d,news_volume_ratio,news_positive_pct,news_negative_pct,filing_count_30d,filing_sentiment,has_8k_recent,filing_risk_sentiment,mgmt_outlook,fda_event_recent,fda_sentiment,clinical_trial_active,regulatory_risk,days_to_earnings,earnings_surprise_last,guidance_sentiment,event_risk_score,sentiment_confidence,composite_sentiment
CMS,0.21013955986127258,0.21013955986127258,0.0,10,4.28,50.0,20.0,2,0.0021271750330924986,1,0.0,0.0010635875165462493,0,0,0,0.3,90,2.7132663727673436,0,0.3229720880277455,0.8,0.07825689802052417
CNC,0.38507622657343743,0.38507622657343743,0.0,10,4.28,60.0,20.0,2,0.0,1,0.0,0.0,0,0,0,0.3,90,50.0,0,0.2879847546853125,0.8,0.2097766793007031
CNP,0.021389294881373644,0.021389294881373644,0.0,10,4.28,30.0,30.0,3,0.0012155285903385706,1,0.0,0.0006077642951692853,0,0,0,0.3,90,1.0958063293195925,0,0.42072214102372524,0.8,0.009494621279561735
COF,0.031177899427711965,0.031177899427711965,0.0,10,4.28,40.0,50.0,4,0.0,1,0.0,0.0,0,0,0,0.3,90,-3.335578630601944,0,0.4787644201144576,0.8,0.005908896853796271
COHR,-0.011631232406944036,-0.011631232406944036,0.0,10,4.28,20.0,40.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,6.818144179653221,0,0.3026737535186112,0.8,0.00615628492704942
COIN,-0.2326154453214258,-0.2326154453214258,0.0,10,4.28,20.0,60.0,1,0.0,0,0.0,0.0,0,0,0,0.3,90,-50.0,0,0.25847691093571484,0.8,-0.15641540586249902
COO,-0.1826506924505035,-0.4099928021430969,0.2273421096925934,3,1.284,10.0,50.0,1,0.0,0,0.0,0.0,0,0,0,0.3,90,7.053877296792287,0,0.2684698615098993,0.8,-0.05334692641248779
COP,0.5051368655636906,0.5051368655636906,0.0,10,4.28,70.0,20.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,-6.467497455365738,0,0.14397262688726187,0.8,0.16709665676424312
COR,0.4141145710212489,0.420621209545061,-0.006506638523812114,6,2.568,60.0,10.0,0,0.0013294843956828117,0,0.0,0.0006647421978414059,0,0,0,0.3,90,0.9908489419475833,0,0.16217708579575024,0.8,0.14682521858906333
COST,0.39871744541451337,0.39871744541451337,0.0,10,4.28,50.0,0.0,1,0.0,0,0.0,0.0,0,0,0,0.3,90,0.7773941782351652,0,0.2252565109170973,0.8,0.14071719716243242
CPAY,0.3297560093924403,0.4802581317722797,-0.1505021223798394,3,1.284,60.0,10.0,1,0.004081985168159008,1,0.0,0.002040992584079504,0,0,0,0.3,90,1.6756278133343243,0,0.23904879812151192,0.8,0.11915264055780328
CPB,-0.5591789269819856,-0.5335621290840209,-0.02561679789796467,8,3.424,0.0,70.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,-10.634495084897233,0,0.1331642146036029,0.8,-0.2116643670710408
CPRT,0.2498728847131133,0.011276790406554937,0.23859609430655837,5,2.14,40.0,40.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,-8.123420871296231,0,0.19502542305737736,0.8,0.0752703783426453
CPT,-0.03558593367536863,-0.20368657043824592,0.1681006367628773,3,2.14,40.0,30.0,1,0.0,0,0.0,0.0,0,0,0,0.3,90,39.93778935185186,0,0.29788281326492627,0.8,0.04745160724139877
CRH,-0.35302960127592087,0.07966885603964328,-0.43269845731556417,2,0.856,40.0,30.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,-1.793923743568671,0,0.17439407974481586,0.8,-0.1262512460619253
CRL,-0.3358925157226622,0.15987620232626795,-0.4957687180489302,2,0.856,50.0,30.0,0,0.0007090583443641662,0,0.0,0.0003545291721820831,0,0,0,0.3,90,1.9085466732615908,0,0.17782149685546755,0.3,-0.11448684298973012
CRM,-0.1502678412012756,-0.1502678412012756,0.0,10,4.28,30.0,50.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,24.850081594935215,0,0.21494643175974487,0.8,-0.015318622028043634
